#YR  DOY HOUR MIN SEC PWV(mm)
2008 65 2 0 0. 1.71
2008 65 4 0 0. 1.83
2008 66 2 0 0. 2.88
2008 67 2 0 0. 2.79
2008 67 4 0 0. 2.95
2008 68 2 0 0. 3.42
2008 68 4 0 0. 3.37
2008 69 2 0 0. 2.20
2008 69 4 0 0. 2.25
2008 70 2 0 0. 1.82
2008 70 4 0 0. 1.66
2008 71 2 0 0. 2.13
2008 71 4 0 0. 2.91
2008 72 2 0 0. 4.59
2008 72 4 0 0. 5.12
2008 73 2 0 0. 2.91
2008 73 4 0 0. 3.25
2008 74 2 0 0. 4.71
2008 74 4 0 0. 4.26
2008 75 2 0 0. 2.89
2008 75 4 0 0. 2.98
2008 76 2 0 0. 2.39
2008 76 4 0 0. 2.99
2008 77 2 0 0. 3.02
2008 77 4 0 0. 3.40
2008 78 2 0 0. 3.49
2008 78 4 0 0. 3.69
2008 79 2 0 0. 2.70
2008 79 4 0 0. 3.32
2008 80 2 0 0. 4.12
2008 80 4 0 0. 4.26
2008 81 2 0 0. 2.63
2008 81 4 0 0. 2.81
2008 82 2 0 0. 3.70
2008 82 4 0 0. 4.13
2008 83 2 0 0. 2.61
2008 83 4 0 0. 2.79
2008 84 2 0 0. 2.96
2008 85 2 0 0. 2.64
2008 85 4 0 0. 2.42
2008 86 2 0 0. 2.49
2008 86 4 0 0. 2.43
2008 87 2 0 0. 3.48
2008 87 4 0 0. 3.18
2008 88 2 0 0. 3.48
2008 88 4 0 0. 3.70
2008 89 2 0 0. 3.97
2008 89 4 0 0. 4.38
2008 90 2 0 0. 3.82
2008 90 4 0 0. 3.67
2008 91 2 0 0. 3.67
2008 91 4 0 0. 3.58
2008 92 2 0 0. 3.23
2008 92 4 0 0. 3.32
2008 92 6 0 0. 3.27
2008 92 8 0 0. 3.66
2008 92 10 0 0. 3.66
2008 92 12 0 0. 2.29
2008 92 14 0 0. 3.64
2008 92 16 0 0. 3.13
2008 92 18 0 0. 3.04
2008 92 20 0 0. 3.10
2008 92 22 0 0. 2.48
2008 93 0 0 0. 2.08
2008 93 2 0 0. 2.24
2008 93 4 0 0. 2.28
2008 93 6 0 0. 2.17
2008 93 8 0 0. 2.42
2008 93 10 0 0. 2.46
2008 93 12 0 0. 2.96
2008 93 14 0 0. 4.35
2008 93 16 0 0. 4.10
2008 93 18 0 0. 4.16
2008 93 20 0 0. 4.31
2008 93 22 0 0. 3.97
2008 94 0 0 0. 3.62
2008 94 2 0 0. 4.02
2008 94 4 0 0. 3.79
2008 94 6 0 0. 3.97
2008 94 8 0 0. 3.85
2008 94 10 0 0. 4.04
2008 94 12 0 0. 4.81
2008 94 14 0 0. 5.18
2008 94 16 0 0. 5.04
2008 94 18 0 0. 4.89
2008 94 20 0 0. 4.95
2008 94 22 0 0. 4.48
2008 95 0 0 0. 5.05
2008 95 2 0 0. 5.03
2008 95 4 0 0. 4.77
2008 95 6 0 0. 4.87
2008 95 8 0 0. 4.45
2008 95 10 0 0. 5.18
2008 95 12 0 0. 5.50
2008 95 14 0 0. 5.26
2008 95 16 0 0. 4.49
2008 95 18 0 0. 4.31
2008 95 20 0 0. 3.70
2008 95 22 0 0. 3.76
2008 96 0 0 0. 4.41
2008 96 2 0 0. 4.23
2008 96 4 0 0. 4.65
2008 96 6 0 0. 4.82
2008 96 8 0 0. 4.02
2008 96 10 0 0. 4.66
2008 96 12 0 0. 5.28
2008 96 14 0 0. 4.74
2008 96 16 0 0. 4.59
2008 96 18 0 0. 5.17
2008 96 20 0 0. 5.05
2008 96 22 0 0. 3.74
2008 97 0 0 0. 2.47
2008 97 2 0 0. 3.72
2008 97 4 0 0. 3.56
2008 97 6 0 0. 3.90
2008 97 8 0 0. 3.71
2008 97 10 0 0. 2.29
2008 97 12 0 0. 1.70
2008 97 14 0 0. 2.38
2008 97 16 0 0. 2.04
2008 97 18 0 0. 2.44
2008 97 20 0 0. 2.34
2008 97 22 0 0. 2.00
2008 98 0 0 0. 2.09
2008 98 2 0 0. 2.13
2008 98 4 0 0. 2.14
2008 98 6 0 0. 2.29
2008 98 8 0 0. 2.18
2008 98 10 0 0. 2.85
2008 98 12 0 0. 2.22
2008 98 14 0 0. 2.77
2008 98 16 0 0. 2.71
2008 98 18 0 0. 3.58
2008 98 20 0 0. 3.82
2008 98 22 0 0. 3.51
2008 99 0 0 0. 2.59
2008 99 2 0 0. 3.37
2008 99 4 0 0. 3.10
2008 99 6 0 0. 2.92
2008 99 8 0 0. 3.57
2008 99 10 0 0. 3.48
2008 99 12 0 0. 2.36
2008 99 14 0 0. 3.44
2008 99 16 0 0. 2.85
2008 99 18 0 0. 3.58
2008 99 20 0 0. 3.78
2008 99 22 0 0. 3.43
2008 100 0 0 0. 3.25
2008 100 2 0 0. 3.35
2008 100 4 0 0. 2.98
2008 100 6 0 0. 2.79
2008 100 8 0 0. 3.26
2008 100 10 0 0. 3.59
2008 100 12 0 0. 3.04
2008 100 14 0 0. 3.50
2008 100 16 0 0. 4.03
2008 100 18 0 0. 4.17
2008 100 20 0 0. 4.78
2008 100 22 0 0. 5.35
2008 101 0 0 0. 3.66
2008 101 2 0 0. 4.12
2008 101 4 0 0. 4.76
2008 101 6 0 0. 4.16
2008 101 8 0 0. 5.18
2008 101 10 0 0. 6.23
2008 101 12 0 0. 4.50
2008 101 14 0 0. 5.22
2008 101 16 0 0. 4.82
2008 101 18 0 0. 5.60
2008 101 20 0 0. 5.29
2008 101 22 0 0. 4.88
2008 102 0 0 0. 4.57
2008 102 2 0 0. 6.00
2008 102 4 0 0. 5.65
2008 102 6 0 0. 6.56
2008 102 8 0 0. 6.93
2008 102 10 0 0. 5.82
2008 102 12 0 0. 3.68
2008 102 14 0 0. 4.44
2008 102 16 0 0. 5.37
2008 102 18 0 0. 5.30
2008 102 20 0 0. 5.87
2008 102 22 0 0. 5.34
2008 103 0 0 0. 6.51
2008 103 2 0 0. 6.16
2008 103 4 0 0. 4.50
2008 103 6 0 0. 4.83
2008 103 8 0 0. 3.57
2008 103 10 0 0. 4.06
2008 103 12 0 0. 3.68
2008 103 14 0 0. 3.27
2008 103 16 0 0. 3.99
2008 103 18 0 0. 4.57
2008 103 20 0 0. 4.40
2008 103 22 0 0. 3.49
2008 104 0 0 0. 3.97
2008 105 2 0 0. 3.65
2008 105 4 0 0. 3.40
2008 105 6 0 0. 3.78
2008 105 8 0 0. 2.94
2008 105 10 0 0. 4.89
2008 105 12 0 0. 3.85
2008 105 14 0 0. 4.13
2008 105 16 0 0. 4.78
2008 105 18 0 0. 4.86
2008 105 20 0 0. 5.24
2008 105 22 0 0. 4.81
2008 106 0 0 0. 6.00
2008 106 2 0 0. 5.87
2008 106 4 0 0. 5.83
2008 106 6 0 0. 5.37
2008 106 8 0 0. 5.10
2008 106 10 0 0. 6.84
2008 106 12 0 0. 4.14
2008 106 14 0 0. 3.96
2008 106 16 0 0. 4.37
2008 106 18 0 0. 4.48
2008 106 20 0 0. 5.08
2008 106 22 0 0. 5.01
2008 107 0 0 0. 5.16
2008 107 2 0 0. 4.59
2008 107 4 0 0. 4.83
2008 107 6 0 0. 4.82
2008 107 8 0 0. 4.42
2008 107 10 0 0. 5.03
2008 107 12 0 0. 6.26
2008 107 14 0 0. 6.44
2008 107 16 0 0. 5.42
2008 107 18 0 0. 3.41
2008 107 20 0 0. 3.56
2008 107 22 0 0. 2.63
2008 108 0 0 0. 3.41
2008 108 2 0 0. 2.76
2008 108 4 0 0. 2.74
2008 108 6 0 0. 2.61
2008 108 8 0 0. 2.76
2008 108 10 0 0. 2.94
2008 108 12 0 0. 2.45
2008 108 14 0 0. 2.73
2008 108 16 0 0. 2.24
2008 108 18 0 0. 2.51
2008 108 20 0 0. 2.17
2008 108 22 0 0. 2.23
2008 109 0 0 0. 2.81
2008 109 2 0 0. 2.42
2008 109 4 0 0. 2.52
2008 109 6 0 0. 2.43
2008 109 8 0 0. 1.67
2008 109 10 0 0. 2.40
2008 109 12 0 0. 2.39
2008 109 14 0 0. 2.07
2008 109 16 0 0. 1.96
2008 109 18 0 0. 2.23
2008 109 20 0 0. 2.24
2008 109 22 0 0. 2.43
2008 110 0 0 0. 2.47
2008 110 2 0 0. 2.54
2008 110 4 0 0. 2.42
2008 110 6 0 0. 2.77
2008 110 8 0 0. 2.70
2008 110 10 0 0. 2.71
2008 110 12 0 0. 2.98
2008 110 14 0 0. 3.10
2008 110 16 0 0. 3.46
2008 110 18 0 0. 3.28
2008 110 20 0 0. 3.65
2008 110 22 0 0. 3.60
2008 111 0 0 0. 3.38
2008 111 2 0 0. 3.27
2008 111 4 0 0. 3.46
2008 111 6 0 0. 2.72
2008 111 8 0 0. 3.20
2008 111 10 0 0. 2.82
2008 111 12 0 0. 2.24
2008 111 14 0 0. 2.79
2008 111 16 0 0. 2.39
2008 111 18 0 0. 2.82
2008 111 20 0 0. 2.87
2008 111 22 0 0. 2.86
2008 112 0 0 0. 2.79
2008 112 2 0 0. 2.94
2008 112 4 0 0. 3.10
2008 112 6 0 0. 2.67
2008 112 8 0 0. 2.66
2008 112 10 0 0. 2.45
2008 112 12 0 0. 1.94
2008 112 14 0 0. 2.13
2008 112 16 0 0. 2.34
2008 112 18 0 0. 2.47
2008 112 20 0 0. 2.85
2008 112 22 0 0. 2.84
2008 113 0 0 0. 2.97
2008 113 2 0 0. 2.72
2008 113 4 0 0. 2.92
2008 113 6 0 0. 2.87
2008 113 8 0 0. 2.62
2008 113 10 0 0. 3.52
2008 113 12 0 0. 1.96
